关键词,一级,二级,关键词属性,上报单位,上报时间,入库时间
6.35母鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西柳州市公安局,"2015-08-28 10:13:20","2015-10-13 09:35:08"
绿妈文,淫秽色情,淫秽信息,没定义,河北省承德市公安局,"2015-10-09 11:05:47","2015-10-10 09:46:39"
关上门就是一家人,淫秽色情,网络招嫖,没定义,公安部十一局,"2015-10-09 10:49:26","2015-10-10 08:20:40"
R文合集,淫秽色情,淫秽信息,没定义,公安部十一局,"2015-09-30 16:58:53","2015-10-08 16:14:23"
小蜜蜂,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西柳州市公安局,"2015-09-21 06:44:14","2015-09-21 15:55:15"
EV2,尚无法律法规禁止、管制销售的违,类枪器械,没定义,广西柳州市公安局,"2015-09-21 06:23:50","2015-09-21 15:55:15"
燕尾枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西柳州市公安局,"2015-08-28 11:26:01","2015-09-21 15:55:15"
枪粮食,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西柳州市公安局,"2015-08-28 12:18:00","2015-09-21 15:55:15"
私色房,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-09-12 22:00:53","2015-09-18 18:46:15"
水中色综合网,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局高新区分局,"2015-09-12 21:57:11","2015-09-18 18:46:15"
哥也色,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-09-12 21:50:41","2015-09-18 18:46:15"
很很射,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-09-06 22:18:42","2015-09-18 18:46:15"
工字管,法律法规禁止、管制销售的违禁品,涉枪,没定义,内蒙古赤峰市宁城县公安局,"2015-09-15 10:00:01","2015-09-15 18:03:26"
桑拿一条龙,淫秽色情,淫秽信息,没定义,广东省韶关市公安局,"2015-08-25 15:06:03","2015-09-07 22:15:48"
管子过桥,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省湛江市公安局,"2015-08-20 17:21:56","2015-09-07 22:15:48"
打乌枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省湛江市公安局,"2015-08-20 16:52:50","2015-09-07 22:15:48"
瓦斯狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省济宁市公安局,"2015-08-21 15:37:28","2015-09-07 22:15:48"
高压狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省济宁市公安局,"2015-08-21 15:55:11","2015-09-07 22:15:48"
鸡婆,淫秽色情,网络招嫖,没定义,海南省昌江黎族自治县公安局,"2015-08-31 16:08:44","2015-09-07 22:15:48"
竞技蛮牛,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省淄博市公安局,"2015-08-20 19:45:53","2015-09-07 22:15:48"
工口,淫秽色情,色情信息,没定义,海南省琼海市公安局,"2015-08-29 09:39:15","2015-09-07 22:15:48"
肉番,淫秽色情,色情信息,没定义,海南省琼海市公安局,"2015-08-29 09:37:31","2015-09-07 22:15:48"
老狗改秃,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省珠海市公安局金湾分局,"2015-08-26 16:51:20","2015-09-07 22:15:48"
岛国资源,淫秽色情,色情信息,没定义,广东省韶关市公安局,"2015-08-25 09:27:41","2015-09-07 22:15:48"
你懂的种子,淫秽色情,色情信息,没定义,广东省珠海市公安局,"2015-08-26 15:21:10","2015-09-07 22:15:48"
秃套,法律法规禁止、管制销售的违禁品,涉枪,没定义,江西省鹰潭市公安局,"2015-08-26 16:56:55","2015-09-07 22:15:48"
气仓,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西北海市公安局,"2015-08-20 15:43:35","2015-09-07 22:15:48"
飞行员叶子,法律法规禁止、管制销售的违禁品,涉毒,没定义,广西北海市公安局,"2015-08-19 16:00:42","2015-09-07 17:19:27"
森西大芽,法律法规禁止、管制销售的违禁品,涉毒,没定义,广西北海市公安局,"2015-08-19 16:37:59","2015-09-07 17:19:27"
森西种子,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省梅州市公安局,"2015-08-17 16:23:08","2015-09-07 17:18:21"
三气木仓,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2015-08-07 09:27:57","2015-09-07 17:18:21"
火药狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2015-08-19 11:37:29","2015-09-07 17:18:21"
滑膛兔,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市公安局九龙坡区分局,"2015-08-14 12:12:45","2015-09-07 17:18:21"
图鹰,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省泰安市公安局,"2015-08-13 14:53:05","2015-09-07 17:18:21"
骚笨,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省湛江市公安局,"2015-08-19 09:45:47","2015-09-07 17:18:21"
女忧,淫秽色情,色情信息,没定义,山东省菏泽市公安局牡丹分局,"2015-08-05 10:36:17","2015-09-07 17:18:21"
纯肉,淫秽色情,淫秽信息,没定义,海南省琼海市公安局,"2015-08-06 16:18:03","2015-09-07 17:18:21"
步兵片,淫秽色情,淫秽信息,没定义,广东省湛江市公安局,"2015-08-17 11:20:53","2015-09-07 17:18:21"
纯H,淫秽色情,淫秽信息,没定义,广东省广州市公安局,"2015-08-18 09:43:33","2015-09-07 17:18:21"
打钢籽,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省常州市公安局,"2015-08-12 15:04:18","2015-09-07 17:18:21"
全套大保健服务,淫秽色情,网络招嫖,没定义,重庆市潼南县公安局,"2015-08-07 16:57:15","2015-09-07 17:18:21"
性服,淫秽色情,色情信息,没定义,西藏自治区日喀则地区公安处,"2015-08-19 11:47:34","2015-09-07 17:18:21"
女尊肉文,淫秽色情,淫秽信息,没定义,海南省琼海市公安局,"2015-08-18 14:51:31","2015-09-07 17:18:21"
K3香料,法律法规禁止、管制销售的违禁品,涉毒,没定义,广西北海市公安局,"2015-08-19 15:47:03","2015-09-07 17:18:21"
白寡妇ak,法律法规禁止、管制销售的违禁品,涉毒,没定义,广西北海市公安局,"2015-08-19 15:40:45","2015-09-07 17:18:21"
肉肉文,淫秽色情,淫秽信息,没定义,广东省广州市公安局,"2015-08-17 17:21:01","2015-09-07 17:18:21"
改装狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,辽宁省抚顺市公安局顺城分局,"2015-08-04 13:51:03","2015-09-07 17:18:21"
射钉狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省烟台市公安局芝罘分局,"2015-08-06 10:16:32","2015-09-07 17:18:21"
防真狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2015-08-18 09:19:22","2015-09-07 17:18:21"
美国秃狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省淄博市公安局,"2015-08-03 15:51:41","2015-09-07 17:18:21"
王八盒子,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南通市公安局,"2015-09-02 15:17:15","2015-09-07 08:41:06"
呦呦论坛,淫秽色情,淫秽信息,没定义,公安部十一局,"2015-08-31 15:30:34","2015-09-06 10:52:13"
飞草客,法律法规禁止、管制销售的违禁品,涉毒,没定义,公安部十一局,"2015-08-31 15:17:49","2015-09-06 10:52:13"
呦呦合集,淫秽色情,淫秽信息,没定义,公安部十一局,"2015-08-31 14:59:46","2015-09-06 10:50:09"
吹草客,法律法规禁止、管制销售的违禁品,涉毒,没定义,公安部十一局,"2015-08-31 15:15:59","2015-09-06 10:50:09"
幼木耳福利,淫秽色情,淫秽信息,没定义,公安部十一局,"2015-08-31 15:03:18","2015-09-06 10:50:09"
过滤王免刷,居民身份证,伪造身份证软件,没定义,山东省潍坊市青州市公安局,"2015-08-20 09:35:11","2015-08-29 11:24:36"
上海后宫阁,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-08-05 09:19:26","2015-08-29 11:22:53"
大炮撸,淫秽色情,淫秽信息,没定义,山东省潍坊市青州市公安局,"2015-08-21 09:40:35","2015-08-29 11:22:52"
狩猎装备,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-08-10 10:45:04","2015-08-21 14:39:40"
狩猎武器,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-08-10 10:52:39","2015-08-21 14:39:40"
色淫网,淫秽色情,色情信息,没定义,浙江省绍兴市柯桥区公安局,"2015-08-12 15:28:00","2015-08-19 19:24:10"
一品楼,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-08-05 09:50:05","2015-08-19 19:16:05"
丐帮情色,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-08-05 10:16:35","2015-08-19 19:16:05"
色网,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-08-05 09:53:18","2015-08-19 19:16:05"
馒头鲍,淫秽色情,淫秽信息,没定义,广东省广州市公安局,"2015-07-24 14:36:22","2015-08-17 09:14:11"
黑市狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2015-07-24 17:20:32","2015-08-17 09:14:11"
撸片,淫秽色情,色情信息,没定义,广东省广州市公安局,"2015-07-30 11:20:01","2015-08-17 09:14:11"
高辣文,淫秽色情,色情信息,没定义,广东省潮州市公安局,"2015-07-29 16:36:24","2015-08-17 09:14:11"
工口邪恶,淫秽色情,淫秽信息,没定义,湖北省十堰市公安局,"2015-07-28 11:04:07","2015-08-17 09:14:11"
滑堂秃,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省常州市公安局,"2015-07-27 14:19:04","2015-08-17 09:14:11"
改火套,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省常州市公安局,"2015-07-27 14:16:50","2015-08-17 09:14:11"
操客,淫秽色情,淫秽信息,没定义,广东省梅州市公安局,"2015-07-23 16:28:56","2015-08-17 09:07:30"
大黑星,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-07-23 10:05:29","2015-08-17 09:07:30"
涩情,淫秽色情,色情信息,没定义,广东省广州市公安局,"2015-07-24 11:21:25","2015-08-17 09:07:30"
635母鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省烟台市公安局莱山分局,"2015-07-17 14:50:38","2015-08-17 08:42:38"
高H,淫秽色情,色情信息,没定义,重庆市公安局大渡口区分局,"2015-07-14 15:19:50","2015-08-17 08:42:38"
棵聊,淫秽色情,淫秽信息,没定义,山东省菏泽市成武县公安局,"2015-07-14 09:25:22","2015-08-17 08:42:38"
手压狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市公安局万盛区分局,"2015-07-15 14:02:28","2015-08-17 08:42:38"
防真枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省泰安市公安局泰山区分局,"2015-07-16 17:01:00","2015-08-17 08:42:38"
火帽,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-07-15 15:09:02","2015-08-17 08:42:38"
OG库什,法律法规禁止、管制销售的违禁品,涉毒,没定义,湖北省黄冈市公安局,"2015-07-09 09:30:27","2015-08-17 08:34:21"
后握套件,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省聊城市临清市公安局,"2015-07-06 15:28:28","2015-08-14 16:58:04"
步鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省聊城市临清市公安局,"2015-07-03 08:11:32","2015-08-14 16:49:42"
秃粮,法律法规禁止、管制销售的违禁品,涉枪,没定义,浙江省绍兴市上虞区公安局,"2015-07-02 10:35:09","2015-08-14 16:49:42"
单打一,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-07-03 11:08:16","2015-08-14 16:49:42"
猪肉冰,法律法规禁止、管制销售的违禁品,涉毒,没定义,山东省泰安市公安局,"2015-07-27 08:55:10","2015-08-11 16:10:39"
国产北极熊,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南通市如皋市公安局,"2015-07-30 15:59:18","2015-08-11 15:46:13"
带灯Y档,尚无法律法规禁止、管制销售的违,开锁工具,没定义,广东省肇庆市公安局,"2015-08-07 15:40:40","2015-08-11 10:35:39"
大奶正妹,淫秽色情,淫秽信息,没定义,山东省淄博市公安局,"2015-07-30 09:56:46","2015-07-31 15:39:56"
改装左轮狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省青岛市公安局市南分局,"2015-07-13 15:56:39","2015-07-31 15:36:54"
琪琪布,淫秽色情,色情信息,没定义,山东省潍坊市公安局高新区分局,"2015-07-23 09:52:07","2015-07-23 18:12:08"
加多鲁,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局高新区分局,"2015-07-23 09:42:05","2015-07-23 18:10:57"
黄sei,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局高新区分局,"2015-07-23 09:29:29","2015-07-23 18:10:21"
名门BAHI气筒,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-06-24 15:47:18","2015-07-14 10:22:33"
鸡婆大保健,淫秽色情,网络招嫖,没定义,重庆市公安局北碚区分局,"2015-06-29 10:23:00","2015-07-14 10:22:33"
电鸡之王,法律法规禁止、管制销售的违禁品,涉枪,没定义,浙江省绍兴市嵊州市公安局,"2015-06-24 15:18:15","2015-07-14 10:22:33"
打炮全套,淫秽色情,网络招嫖,没定义,重庆市公安局巴南区分局,"2015-06-26 15:28:59","2015-07-14 10:22:33"
h番,淫秽色情,色情信息,没定义,重庆市公安局,"2015-06-23 11:34:40","2015-07-14 10:22:33"
秃子图纸,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省泰安市宁阳县公安局,"2015-06-24 15:52:07","2015-07-14 10:22:33"
NTR,淫秽色情,淫秽信息,没定义,江苏省南通市海门市公安局,"2015-06-17 14:38:16","2015-07-14 10:18:46"
军狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省梅州市公安局,"2015-06-16 15:36:29","2015-07-14 10:18:46"
擦键盘,淫秽色情,色情信息,没定义,广东省韶关市公安局,"2015-06-19 09:15:30","2015-07-14 10:18:46"
日本伦理片,淫秽色情,淫秽信息,没定义,广东省韶关市公安局,"2015-06-16 18:17:30","2015-07-14 10:18:46"
肉番,淫秽色情,淫秽信息,没定义,重庆市万州区公安局,"2015-06-18 18:09:31","2015-07-14 10:18:46"
汽鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市荣昌县公安局,"2015-06-16 16:30:31","2015-07-14 10:18:46"
下压狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-06-10 10:54:03","2015-07-13 21:52:37"
全套内脏,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省烟台市公安局芝罘分局,"2015-06-10 12:52:22","2015-07-13 21:52:37"
美鲍粉木耳,淫秽色情,淫秽信息,没定义,广东省潮州市公安局,"2015-06-11 16:39:02","2015-07-13 21:52:37"
自制槽化管,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市江津区公安局,"2015-06-10 11:33:27","2015-07-13 21:52:37"
躶聊,淫秽色情,色情信息,没定义,江苏省南京市公安局,"2015-06-11 10:44:22","2015-07-13 21:52:37"
嗨壶,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省梅州市公安局,"2015-06-11 14:52:29","2015-07-13 21:52:37"
罗聊,淫秽色情,色情信息,没定义,江苏省南京市公安局,"2015-06-11 10:50:08","2015-07-13 21:52:37"
倮聊,淫秽色情,色情信息,没定义,江苏省南京市公安局,"2015-06-11 10:48:28","2015-07-13 21:52:37"
qm兼职女,淫秽色情,网络招嫖,没定义,重庆市璧山县公安局,"2015-06-10 17:26:08","2015-07-13 21:52:37"
爱情动作片,淫秽色情,淫秽信息,没定义,重庆市公安局双桥区分局,"2015-06-11 15:25:13","2015-07-13 21:52:37"
pcp烧本,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省济南市公安局槐荫区分局,"2015-06-09 14:41:04","2015-07-13 21:52:37"
秃鹰装配,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2015-06-01 09:05:55","2015-07-13 21:52:37"
狗管配件,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-06-02 10:13:05","2015-07-13 21:52:37"
牝穴,淫秽色情,淫秽信息,没定义,山东省菏泽市东明县公安局,"2015-05-25 10:08:56","2015-07-13 21:52:37"
果聊吧,淫秽色情,色情信息,没定义,江苏省南通市公安局,"2015-05-28 11:09:58","2015-07-13 21:52:37"
国秃武器,法律法规禁止、管制销售的违禁品,涉枪,没定义,浙江省绍兴市上虞区公安局,"2015-06-09 09:33:37","2015-07-13 21:52:37"
凸鹰,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省湛江市公安局,"2015-06-02 09:30:25","2015-07-13 21:52:37"
C02手狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2015-06-03 10:17:51","2015-07-13 21:52:37"
仿真鸡狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-06-02 09:35:43","2015-07-13 21:52:37"
赤聊,淫秽色情,淫秽信息,没定义,江苏省南通市海门市公安局,"2015-05-22 13:58:26","2015-07-13 21:52:37"
微声狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-06-10 10:10:23","2015-07-13 21:52:37"
萝聊,淫秽色情,网络招嫖,没定义,山东省济南市公安局槐荫区分局,"2015-06-04 16:47:06","2015-07-13 21:52:37"
秃过桥,法律法规禁止、管制销售的违禁品,涉枪,没定义,贵州省铜仁地区铜仁市公安局,"2015-06-04 11:13:45","2015-07-13 21:52:37"
BB狗友,法律法规禁止、管制销售的违禁品,涉枪,没定义,贵州省铜仁地区万山特区公安局,"2015-05-26 15:19:02","2015-07-13 21:52:37"
批发联邦止咳露,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省潮州市公安局,"2015-06-04 16:53:32","2015-07-13 21:52:37"
飞行员燃料走淘宝,法律法规禁止、管制销售的违禁品,涉毒,没定义,公安部十一局,"2015-06-30 15:04:58","2015-07-08 09:28:07"
气秃管,法律法规禁止、管制销售的违禁品,涉枪,没定义,湖北省十堰市公安局,"2015-06-19 16:41:32","2015-07-07 16:58:22"
手抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西南宁市公安局,"2015-06-19 16:40:25","2015-07-07 16:58:22"
仿真手,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-25 10:29:59","2015-06-29 14:23:40"
同城援交,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局奎文分局,"2015-06-25 09:47:10","2015-06-29 14:23:40"
精诚枪械网,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-25 10:07:54","2015-06-29 14:23:40"
狗子弹,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-24 15:41:12","2015-06-24 17:45:18"
桑拿洗浴一条龙,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局奎文分局,"2015-06-23 16:31:59","2015-06-24 17:45:18"
雄鹰awp,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-24 16:16:36","2015-06-24 17:45:18"
ppk气手枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-24 15:26:07","2015-06-24 17:45:18"
色色偶,淫秽色情,色情信息,没定义,山东省潍坊市昌邑市公安局,"2015-06-08 10:53:31","2015-06-24 16:55:59"
夜夜色,淫秽色情,淫秽信息,没定义,山东省潍坊市昌邑市公安局,"2015-06-11 15:41:56","2015-06-24 16:55:12"
电动长狗专卖,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市昌邑市公安局,"2015-06-11 08:02:30","2015-06-24 16:54:50"
逼阴套,淫秽色情,淫秽信息,没定义,山东省潍坊市昌邑市公安局,"2015-06-10 08:19:44","2015-06-24 16:52:49"
蛋蛋撸,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局奎文分局,"2015-06-04 11:07:16","2015-06-24 16:51:33"
中握托,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市公安局潍城分局,"2015-06-10 14:42:53","2015-06-24 16:50:41"
钢珠狙击气枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市公安局高新区分局,"2015-06-16 08:45:47","2015-06-24 13:36:08"
气枪制做教学,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市公安局高新区分局,"2015-06-16 08:43:21","2015-06-24 13:36:08"
极品部落,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局奎文分局,"2015-06-19 15:02:41","2015-06-24 13:36:08"
秃鹰整套配件,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-10 17:28:57","2015-06-24 13:30:18"
pcp枪管,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-12 16:25:52","2015-06-24 13:27:13"
中握50精度,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-12 17:32:20","2015-06-24 13:27:13"
手枪配件,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-12 17:19:24","2015-06-24 13:27:13"
狗友认证,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省潍坊市高密市公安局,"2015-06-12 16:28:27","2015-06-24 13:27:13"
奶妈论坛内部照片,专项清理,成人奶妈,没定义,广东省潮州市公安局,"2015-06-12 16:06:19","2015-06-24 11:01:24"
母乳速報,专项清理,成人奶妈,没定义,广东省潮州市公安局,"2015-06-17 11:02:48","2015-06-24 11:01:24"
1024论坛,淫秽色情,色情信息,没定义,山东省淄博市公安局,"2015-05-27 15:45:48","2015-06-16 10:17:37"
冰壶水,法律法规禁止、管制销售的违禁品,涉毒,没定义,上海市公安局普陀分局,"2015-05-29 11:11:51","2015-06-16 10:17:37"
气秃,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-05-26 09:50:12","2015-06-16 10:15:00"
汽秃,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-05-26 09:46:38","2015-06-16 10:15:00"
幼幼自拍,淫秽色情,淫秽信息,没定义,山东省潍坊市公安局高新区分局,"2015-05-26 09:35:04","2015-06-16 10:15:00"
果聊群,淫秽色情,色情信息,没定义,江苏省南通市公安局,"2015-05-25 10:26:47","2015-06-16 10:15:00"
金弓雷锤,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省肇庆市公安局,"2015-05-21 17:19:12","2015-06-16 10:12:08"
莞式一条龙,淫秽色情,淫秽信息,没定义,海南省白沙黎族自治县公安局,"2015-05-21 14:57:48","2015-06-16 10:12:08"
番号列表,淫秽色情,色情信息,没定义,江苏省扬州市公安局,"2015-05-21 14:59:57","2015-06-16 10:12:08"
乳辱,淫秽色情,淫秽信息,没定义,广东省韶关市公安局,"2015-05-21 10:26:00","2015-06-16 10:12:08"
自制气吹,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省宿迁市公安局,"2015-05-22 10:21:04","2015-06-16 10:12:08"
bb狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2015-05-22 09:30:26","2015-06-16 10:12:08"
工字狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-05-19 10:07:16","2015-06-16 10:08:31"
打鸟木仓,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2015-05-20 11:59:32","2015-06-16 10:08:31"
气鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市单县公安局,"2015-05-20 10:58:43","2015-06-16 10:08:31"
打蝴蝶按摩,淫秽色情,色情信息,没定义,海南省三亚市公安局,"2015-05-20 15:19:41","2015-06-16 10:08:31"
散弹狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-05-19 10:23:28","2015-06-16 10:08:31"
包吹包做,淫秽色情,网络招嫖,没定义,重庆市公安局巴南区分局,"2015-05-14 11:08:13","2015-06-16 10:03:03"
香港G水,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省深圳市公安局,"2015-05-14 10:06:11","2015-06-16 10:03:03"
电磁击锤,尚无法律法规禁止、管制销售的违,类枪器械,没定义,海南省乐东黎族自治县公安局,"2015-05-12 15:26:02","2015-06-16 10:03:03"
全城嘿咻,淫秽色情,淫秽信息,没定义,广东省肇庆市公安局,"2015-05-11 11:39:00","2015-06-16 10:03:03"
汽粮,法律法规禁止、管制销售的违禁品,涉枪,没定义,浙江省绍兴市上虞区公安局,"2015-05-12 17:03:52","2015-06-16 10:03:03"
国产狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-05-12 15:33:34","2015-06-16 10:03:03"
囮壆栤,法律法规禁止、管制销售的违禁品,涉毒,没定义,江苏省南京市公安局,"2015-05-14 10:38:12","2015-06-16 10:03:03"
半自动狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2015-05-14 14:22:19","2015-06-16 10:03:03"
成人gif,淫秽色情,淫秽信息,没定义,贵州省铜仁地区德江县公安局,"2015-05-14 09:42:42","2015-06-16 10:03:03"
里番,淫秽色情,淫秽信息,没定义,广东省梅州市公安局,"2015-05-14 15:48:48","2015-06-16 10:03:03"
牙签冰砖,法律法规禁止、管制销售的违禁品,涉毒,没定义,重庆市荣昌县公安局,"2015-05-11 10:08:49","2015-06-16 09:48:54"
猪肉麻果,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省广州市公安局,"2015-05-08 17:01:46","2015-06-16 09:48:54"
真铁,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省镇江市公安局,"2015-05-07 20:35:22","2015-06-15 17:10:20"
骚冰,法律法规禁止、管制销售的违禁品,涉毒,没定义,江苏省无锡市公安局,"2015-05-07 11:05:35","2015-06-15 17:10:20"
国产电鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,贵州省铜仁地区铜仁市公安局,"2015-05-08 10:31:26","2015-06-15 17:10:20"
北京ts女王媚儿,淫秽色情,网络招嫖,没定义,广东省广州市公安局,"2015-05-06 17:58:43","2015-06-15 17:06:35"
夜网,淫秽色情,淫秽信息,没定义,重庆市璧山县公安局,"2015-05-05 16:06:21","2015-06-12 17:00:26"
膛线冲子,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省佛山市公安局,"2015-05-05 09:08:32","2015-06-12 17:00:26"
成都耍耍,淫秽色情,网络招嫖,没定义,重庆市铜梁县公安局,"2015-05-04 14:57:57","2015-06-12 15:25:33"
可1可0,淫秽色情,色情信息,没定义,上海市公安局普陀分局,"2015-05-08 14:39:47","2015-06-09 17:14:37"
猪肉麻古,法律法规禁止、管制销售的违禁品,涉毒,没定义,福建省泉州市公安局,"2015-05-18 15:49:21","2015-06-09 15:48:39"
万能变号王（福州）,尚无法律法规禁止、管制销售的违,手机改号软件,没定义,福建省公安厅,"2015-06-08 16:10:43","2015-06-09 15:48:21"
昏迷药,法律法规禁止、管制销售的违禁品,剧毒化学品,没定义,广西公安厅,"2015-06-08 20:45:02","2015-06-09 15:12:17"
秃管,法律法规禁止、管制销售的违禁品,涉枪,没定义,公安部十一局,"2015-05-29 15:48:50","2015-06-02 16:50:03"
狗友认证专业诚信,法律法规禁止、管制销售的违禁品,涉枪,没定义,公安部十一局,"2015-05-29 15:27:43","2015-06-02 16:49:10"
